"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-февраль 2025 г.)"
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, погибших в результате ДТП",31
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, получивших ранения в результате совершения ДТП",412
"74. Кемеровская область - Кузбасс","3_1","Число погибших на 100 пострадавших","6,997742664"
"75. Новосибирская область","3_1","Количество ДТП с пострадавшими",357
"75. Новосибирская область","3_1","Количество лиц, погибших в результате ДТП",39
"75. Новосибирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",463
"75. Новосибирская область","3_1","Число погибших на 100 пострадавших","7,768924303"
"76. Омская область","3_1","Количество ДТП с пострадавшими",294
"76. Омская область","3_1","Количество лиц, погибших в результате ДТП",17
"76. Омская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",426
"76. Омская область","3_1","Число погибших на 100 пострадавших","3,837471783"
"77. Томская область","3_1","Количество ДТП с пострадавшими",33
"77. Томская область","3_1","Количество лиц, погибших в результате ДТП",3
"77. Томская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",37
"77. Томская область","3_1","Число погибших на 100 пострадавших","7,5"
"Дальневосточный фед.округ","3_1","Количество ДТП с пострадавшими",953
"Дальневосточный фед.округ","3_1","Количество лиц, погибших в результате ДТП",96
"Дальневосточный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1249
"Дальневосточный фед.округ","3_1","Число погибших на 100 пострадавших","7,137546468"
"68. Республика Бурятия","3_1","Количество ДТП с пострадавшими",93
"68. Республика Бурятия","3_1","Количество лиц, погибших в результате ДТП",10
"68. Республика Бурятия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",117
"68. Республика Бурятия","3_1","Число погибших на 100 пострадавших","7,874015748"
"79. Республика Саха (Якутия)","3_1","Количество ДТП с пострадавшими",97
"79. Республика Саха (Якутия)","3_1","Количество лиц, погибших в результате ДТП",5
"79. Республика Саха (Якутия)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",143
"79. Республика Саха (Якутия)","3_1","Число погибших на 100 пострадавших","3,378378378"
"78. Забайкальский край","3_1","Количество ДТП с пострадавшими",92
"78. Забайкальский край","3_1","Количество лиц, погибших в результате ДТП",27
"78. Забайкальский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",102
"78. Забайкальский край","3_1","Число погибших на 100 пострадавших","20,93023256"
"80. Приморский край","3_1","Количество ДТП с пострадавшими",303
"80. Приморский край","3_1","Количество лиц, погибших в результате ДТП",25
"80. Приморский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",399
"80. Приморский край","3_1","Число погибших на 100 пострадавших","5,896226415"
"81. Хабаровский край","3_1","Количество ДТП с пострадавшими",142
"81. Хабаровский край","3_1","Количество лиц, погибших в результате ДТП",11
"81. Хабаровский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",200
"81. Хабаровский край","3_1","Число погибших на 100 пострадавших","5,213270142"
"82. Камчатский край","3_1","Количество ДТП с пострадавшими",51
"82. Камчатский край","3_1","Количество лиц, погибших в результате ДТП",3
"82. Камчатский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",68
"82. Камчатский край","3_1","Число погибших на 100 пострадавших","4,225352113"
